Artist,Song,Date Released,Avg,# Ratings,Wants
Black Label Society,Doom Crew Inc.,26 November 2021,3.23,123,14
Julie Doiron,I Thought of You,26 November 2021,3.15,140,31
The Darkness,Motorheart,19 November 2021,3.19,90,15
Kid Cudi,Entergalactic,2022,-,inf,54
Sting,The Bridge,19 November 2021,2.87,127,16
Korn,Requiem,2022,-,inf,53
Standing on the Corner Art Ensemble,"""FUNCTION""",7 December 2021,4.10,25,47
Nils Frahm,Old Friends New Friends,3 December 2021,3.25,141,34
The Gathering,Beautiful Distortion,2022,-,inf,53
Grimes,Book 1,2022,-,inf,53
Noise Trail Immersion,Curia,26 November 2021,3.46,91,37
Reveal,Doppelherz,10 December 2021,3.67,88,36
King Crimson,"Music Is Our Friend: Live in Washington and Albany, 2021",19 November 2021,3.89,91,23
Cadaveric Fumes,Echoing Chambers of Soul,10 December 2021,3.59,96,32
LazyGod x CartierGodLazyGodCartier'GOD,VaporDrip 2,LazyGodCartier'GOD,3.68,163,37
Maybeshewill,No Feeling Is Final,19 November 2021,3.30,126,23
Jethro Tull,The Zealot Gene,2022,-,inf,48
Fax Gang,Dataprism,2022,-,inf,46
Bladee Presenting DJ Billybool & WoesumBladeeDJ BillyboolWoesum,Royal Mix,BladeeDJ BillyboolWoesum,3.55,108,32
Roddy Ricch,Live Life Fast,17 December 2021,2.57,463,27
Juice WRLD,Fighting Demons,10 December 2021,2.26,521,26
Varg2™,Siren Call,6 December 2021,3.35,175,28
Oneohtrix Point Never,Renditions 1,26 November 2021,2.87,44,41
Lucki & F1LTHY,Wake Up Lucki,3 December 2021,2.84,487,31
Sky H1,Azure,3 December 2021,3.32,97,20
Me and That Man,"New Man, New Songs, Same Shit, Vol. 2",19 November 2021,2.93,94,12
"Wadada Leo Smith, Jack DeJohnette & Vijay Iyer",A Love Sonnet for Billie Holiday,19 November 2021,3.37,31,30
Nell Smith & The Flaming Lips,Where the Viaduct Looms,26 November 2021,2.66,116,17
Rick Ross,Richer Than I Ever Been,10 December 2021,2.81,210,22
Pi'erre Bourne & TM88,Yo!88,10 December 2021,2.88,226,25
Dean Blunt,Black Metal 2 (Kwake Dubs),10 December 2021,3.39,72,31
Unanimated,Victory in Blood,3 December 2021,3.43,82,22
µ-Ziq & Mrs Jynx,Secret Garden,19 November 2021,3.26,108,27
Whoredom Rife,Winds of Wrath,15 November 2021,3.44,69,23
青葉市子 [Ichiko Aoba] & Albert Karch,"Live at Jazzstate, 04/12/2019",4 December 2021,3.64,84,32
Lock Up,The Dregs of Hades,26 November 2021,3.37,83,22
Tierra Whack,Pop?,9 December 2021,2.50,281,11
Riki,Gold,26 November 2021,3.20,87,19
Brian Wilson,At My Piano,19 November 2021,3.09,90,15
Girls Rituals,Cow,16 November 2021,3.40,109,29
Ryuichi Sakamoto,Playing the Piano 12122020,12 December 2021,3.81,47,27
The Dear Hunter,The Indigo Child,15 November 2021,2.73,116,20
Green Day,BBC Sessions,10 December 2021,3.82,70,14
Delroy Edwards,Change the World,3 December 2021,2.87,6,32
Ladyhawke,Time Flies,19 November 2021,2.91,63,18
Olivia Block,Innocent Passage in the Territorial Sea,19 November 2021,3.15,52,21
Janet,Black Diamond,2022,-,inf,35
Marillion,An Hour Before It's Dark,2022,4.21,2,35
Alicia Keys,Keys,10 December 2021,3.04,120,21
Celer,With and Not Without,30 November 2021,3.53,48,27
Temperance,Diamanti,19 November 2021,3.58,36,15
RXK Nephew,Shawty RXK Too 2,11 December 2021,3.84,94,24
King Buffalo,Acheron,3 December 2021,3.58,60,14
Pye Corner Audio,Entangled Routes,26 November 2021,3.30,57,17
Blankenberge,Everything,14 November 2021,3.49,101,14
The Lurking Fear,"Death, Madness, Horror, Decay",19 November 2021,3.34,63,13
Jessy Lanza,DJ-Kicks,19 November 2021,3.57,72,26
Nick Cave and Warren Ellis,La panthère des neiges,17 December 2021,3.28,60,15
Michael Hurley,The Time of the Foxgloves,10 December 2021,3.30,52,23
Dessiderium,Aria,10 December 2021,3.71,57,14
JASSS,A World of Service,26 November 2021,2.49,67,23
Imperial Triumphant,An Evening With Imperial Triumphant,26 November 2021,3.82,43,24
Dakhma,Blessings of Amurdad,19 November 2021,3.58,71,20
Matthew Revert & Vanessa Rossetto,This Is What I Imagine a Day May Be Like,2022,-,inf,30
Naked Flames,Moonwalking Fingers,13 December 2021,3.82,33,24
If I Promise,Where You Built Your Nest,12 December 2021,3.39,115,23
Bekëth Nexëhmü,De Fornas Likgaldrar,12 December 2021,3.94,34,24
Malady,Ainavihantaa,10 December 2021,3.66,32,13
The KVB,Unity,26 November 2021,2.93,80,12
Soup,Visions,19 November 2021,3.64,37,13
King Gizzard and the Lizard Wizard,Made in Timeland,2022,-,inf,30
Coucou Chloe,One,12 December 2021,3.16,132,18
Of Mice & Men,Echo,3 December 2021,3.41,116,16
Lil Peep & Harry Fraud,High Fashion,3 December 2021,2.79,213,20
JACK Quartet,Aggregate Forms,December 2021,3.69,21,27
The Temple,The Temple,19 November 2021,3.49,88,10
RXK Nephew & Apartment9,Nephew Robbed Apartment9,19 November 2021,3.69,73,22
The Body & OAA,Enemy of Love,2022,-,inf,29
The Microphones,Live at Le Guess Who? 2021,7 December 2021,3.89,21,26
Yung Sherman,Stockholm Mix,6 December 2021,3.74,42,23
Dormant Ordeal,The Grand Scheme Of Things,3 December 2021,3.47,67,14
Cartier'GOD,Water on Mars,13 November 2021,3.47,69,25
Material Girl,i85mixx21-22,2022,-,1,28
Tierra Whack,R&B?,16 December 2021,2.77,204,7
Big Boi & Sleepy Brown,Big Sleepover,10 December 2021,2.87,84,21
Deutsch Amerikanische Freundschaft,Nur Noch Einer,26 November 2021,2.98,35,20
The Antlers,Losing Light,16 November 2021,2.90,100,15
キリンジ [Kirinji],Crepuscular,8 December 2021,3.56,72,23
