Artist,Song,Date Released,Avg,# Ratings,Wants
Spectacular Diagnostics,Ancient Methods,26 November 2021,3.54,29,6
martinou,Rift,26 November 2021,3.69,36,8
Brian Wilson,Brian Wilson: Long Promised Road,26 November 2021,3.35,26,1
The Jimi Hendrix Experience,Paris 67,26 November 2021,4.48,6,6
My Disco,Alter Schwede,25 November 2021,3.05,14,6
Münchener Kammerorchester / Clemens Schuldt,Streichermusik 1; Drei Klangreden / ... fast erstarrte Unruhe ... 2; Ensemblekonzert II,25 November 2021,-,inf,12
Oxhy,Rights of Spring,25 November 2021,3.25,41,11
Lord Jah-Monte Ogbon,Beautifully Black,24 November 2021,3.26,86,8
横山博 [Hiroshi Yokoyama],For Bunita Marcus (2020 Live),23 November 2021,3.74,9,7
Galaxy,On the Shore of Life,19 November 2021,3.35,26,2
Charles Rumback,Seven Bridges,19 November 2021,3.33,17,9
William Ryan Fritch,Built Upon a Fearful Void,19 November 2021,3.58,30,9
Colin Blunstone,That Same Year,19 November 2021,3.87,5,8
ASC,Defiance,19 November 2021,3.28,12,8
Tyrannic,Mortuus Decadence,19 November 2021,3.20,34,7
K.Flay,Outside Voices,19 November 2021,3.06,29,7
Ghost Rhythms,Spectral Music,19 November 2021,3.89,9,5
Eye Flys,Exigent Circumstance,19 November 2021,3.47,31,6
Rezz,Spiral,19 November 2021,3.11,57,8
IAMX,Machinate,19 November 2021,2.41,44,8
Cara Neir,Pain Gel of Purification,19 November 2021,3.35,30,6
Tia Maria Produções,Angústia nos corações da tia,15 November 2021,3.56,14,10
카코포니 [cacophony],Reborn,13 November 2021,3.53,43,9
Ariel Pink's Darkside,The Key of Joy is Disobedience,31 December 2021,-,inf,11
Memory Garden,1349,17 December 2021,2.95,13,7
geronimostilton,Impending Ghosts,17 December 2021,3.80,24,8
Fripp & Eno,Live in Paris 28.05.1975,17 December 2021,3.72,14,7
Taku Sugimoto,Hum (2002) δ / ε / ο,15 December 2021,3.04,4,9
Calva Louise,Euphoric,12 December 2021,2.77,23,2
Madmess,Rebirth,10 December 2021,3.28,13,2
Otargos,Fleshborer Soulflayer,10 December 2021,3.23,17,5
MadeinTYO & UnoTheActivist,Yokohama,10 December 2021,3.15,76,6
Nekromant,Temple of Haal,3 December 2021,3.46,14,5
Flee Lord & Tiona Deniece,Mask & Glove,3 December 2021,2.85,25,7
Blue Rodeo,Many a Mile,3 December 2021,3.07,13,1
Casper McFadden,Medicalmechanica,3 December 2021,3.60,39,8
Jim O'Rourke,Steamroom 57,3 December 2021,3.64,16,11
Alice Phoebe Lou,Child's Play,2 December 2021,3.08,58,4
Yoasobi,The Book 2,1 December 2021,3.17,57,4
Acid Souljah,Thank You Acid Souljah 2,30 November 2021,3.52,42,7
Benoît Pioulard,Bloodless,29 November 2021,3.24,13,7
Resolve,Between Me and the Machine,26 November 2021,3.85,15,5
Eternal Evil,The Warriors Awakening Brings the Unholy Slaughter,26 November 2021,3.29,22,4
Goatcraft,Sic Transit Gloria Mundi,26 November 2021,3.28,14,6
Bby Goyard & David Shawty,Guardian Ghosts,26 November 2021,2.88,39,9
Pipe-eye,Dream Themes,26 November 2021,3.26,31,4
Career Crooks,Never at Peace,26 November 2021,3.72,20,3
Hässlig,Guillotine,26 November 2021,3.17,23,3
E-Saggila / Exploited Body,E-Saggila / Exploited Body,25 November 2021,2.90,11,9
Эдуард Артемьев [Eduard Artemyev],Неизданное,25 November 2021,3.61,11,9
Hemelbestormer,Collide & Merge,19 November 2021,3.29,17,4
Modern Nature,Island of Noise,19 November 2021,3.65,4,10
Abraded,Abraded,19 November 2021,3.01,45,5
Noize MC,Выход в город,19 November 2021,3.34,55,4
Max B,Negro Spirituals,19 November 2021,2.91,32,7
Old Saw,Country Tropics,19 November 2021,3.76,18,8
Jah Wobble,Metal Box: Rebuilt in Dub,19 November 2021,3.81,15,6
エイプリルブルー [AprilBlue],いつかの海,17 November 2021,3.60,17,10
Flora Yin-Wong,The Sacrifice,16 November 2021,3.17,30,7
Bestial Invasion,The Divine Comedy: Inferno,14 November 2021,3.45,23,5
Cherokee,Blood & Gold,13 November 2021,3.42,6,7
Yeat,Alive,January 2022,-,inf,10
Coco Bryce,Wuthering Heights EP,24 December 2021,3.35,16,8
Lacrimosa,Leidenschaft,24 December 2021,3.00,9,7
Trhä,Inagape,24 December 2021,3.52,19,6
Prolaps,Ultra Cycle Pt. 4: Hibernal Death,21 December 2021,4.10,11,7
Dominic Coles,Everyone Thinks Their Dreams Are Interesting,20 December 2021,4.50,2,10
Mega Colossus,Riptime,17 December 2021,3.69,21,4
Mire,A New Found Rain,17 December 2021,3.41,13,5
Rookie Card,We Chose to Go to the Moon,17 December 2021,3.50,21,8
osquinn,The Worst Album You've Ever Heard / Renovation Tapes,15 December 2021,5.00,1,10
Revenant Marquis,Cyflymiad O'r Holl Arferion Ocwlt,15 December 2021,2.91,16,6
The Murder of My Sweet,A Gentleman's Legacy,10 December 2021,2.56,10,4
Stabbing,Ravenous Psychotic Onslaught,10 December 2021,3.55,25,6
Guè Pequeno,Gvezvs,10 December 2021,2.62,44,2
"Wiz Khalifa, Cardo & Sledgren",Wiz Got Wings,10 December 2021,2.56,32,6
Hilary Woods,Feral Hymns,3 December 2021,3.13,26,7
al.divino,Two Nights in Marrakesh,3 December 2021,3.19,40,6
Bruce Springsteen E Street BandBruce SpringsteenE Street Band,"Nassau Coliseum, Dec 28, 1980",Bruce SpringsteenE Street Band,4.20,6,3
cignature,Dear Diary Moment,30 November 2021,2.91,65,5
Patricia Taxxon,Xanthan Gun,30 November 2021,2.93,31,6
Atsushi Sakai / Christophe Rousset / Marion Martineau,"Pièces de Viole, Livre I",26 November 2021,3.39,7,8
ORF Vienna Radio Symphony Orchestra / Wiener Singakademie / Marin Alsop / Ausrine Stundyte / Renée Morloc / Annette Schönmüller / Caroline Baas / Enzo Brumm,Symphony 'Mathis der Maler'; Nusch-Nuschi-Tänze; Sancta Susanna,26 November 2021,2.50,5,9
Inherits the Void,Monolith of Light,26 November 2021,3.46,18,3
Paco Amoroso,SAETA,25 November 2021,3.42,76,7
Emmanuel,Force of Nature,25 November 2021,3.25,9,7
saziBd,Prelude to the saziBd Album,25 November 2021,4.50,2,9
Nekrovault,Nachhut: Toward the Towering Tomb,24 November 2021,3.40,25,5
bvdub,Measures of a Greater Mercy,21 November 2021,2.93,20,6
Vacuum Quartet,String Quartet Series: Alexey Sysoev,20 November 2021,3.53,21,8
E-Force,Mindbender,19 November 2021,3.43,8,2
Quatuor Diotima,"Gervasoni, Pesson, Poppe",19 November 2021,3.21,7,7
Fine Place,This New Heaven,19 November 2021,2.92,23,2
Astromeda,Moonsea,19 November 2021,3.56,21,7
Mchy i Porosty,Postapoland,14 November 2021,3.20,16,7
Urdôl Ur,Seven Portals to the Arcane Realms,13 November 2021,3.44,33,4
Vio-Lence,Let the World Burn,2022,-,inf,9
Dance Gavin Dance,DGD LP10,2022,-,inf,8
Nanoray,Digimaiden,1 January 2022,-,inf,9
Anthony1,!!!,24 December 2021,3.09,15,8
Mörser,Thank You for Leaving,17 December 2021,3.59,8,7
Bookhouse,Eferwad y Tonnau Gwyn,16 December 2021,3.28,11,7
NCT,Universe,14 December 2021,3.03,104,5
"John Russell, John Butcher & Dominic Lash",But Everything Now Left Before It Arrived,12 December 2021,3.50,3,7
Restless Spirit,Blood of the Old Gods,10 December 2021,3.53,21,3
Lhaäd,Below,10 December 2021,3.42,21,3
Rage of Light,Redemption,8 December 2021,3.01,10,3
Hecker,Syn As Tex [AC],6 December 2021,4.73,2,9
Drakeo the Ruler,So Cold I Do Em 2,6 December 2021,3.00,23,6
Arctic Plateau,Songs of Shame,3 December 2021,3.07,21,4
Lethian Dreams,Last Echoes of Silence,3 December 2021,3.52,26,5
Bola Sete,Samba in Seattle: Live at the Penthouse (1966-1968),3 December 2021,-,inf,8
Desired,FRESH,3 December 2021,3.35,30,5
Current Value,Runway,3 December 2021,3.55,11,6
Styles P & Havoc,Wreckage Manner,3 December 2021,2.85,47,4
Tatsuya Yoshida & Risa Takeda,Crête de sable,3 December 2021,3.73,6,4
Rodeoglo,Outworld,3 December 2021,3.39,29,7
Roscoe Holcomb,The Old Church,3 December 2021,3.96,4,6
Darkestrah,Chong-Aryk,2 December 2021,3.27,19,8
Plural Ensemble / Fabián Panisello / David Moliner,Physical Sound,2 December 2021,-,inf,9
Délétère / Sarkrista,Opus Blasphematum,2 December 2021,3.45,25,5
Tomutonttu,Hoshi,2 December 2021,3.53,7,6
Richard Skelton,A Guidonian Hand,29 November 2021,3.67,7,4
Three Berry Icecream,Three Berry Icecream,27 November 2021,-,inf,9
Vetusta Morla,Cable a tierra,26 November 2021,3.10,33,2
Hollow,Tower,26 November 2021,3.23,9,5
Titan,Palingenesia,26 November 2021,3.91,5,2
Alizzz,Tiene que haber algo más,26 November 2021,3.32,70,5
Crimeapple,Sancocho,26 November 2021,2.98,33,3
Hodge & Simo Cell,Drums From the West EP,26 November 2021,3.38,25,5
Hampshire & Foat,The Upturned Glass,26 November 2021,3.25,15,8
Smith / KotzenAdrian SmithRichie Kotzen,Better Days EP,Adrian SmithRichie Kotzen,3.45,10,3
ten56.,Downer Part 1,25 November 2021,3.30,29,4
TWRP,New & Improved,25 November 2021,3.23,49,3
Hope Drone,Husk,20 November 2021,3.44,26,3
Skillet,Dominion,19 November 2021,1.44,5,9
Noveliss & Dixon Hill,Book of Changes,19 November 2021,3.44,28,4
Ten Typ Mes,Hello Baby,19 November 2021,2.66,60,4
Allison Lorenzen,Tender,19 November 2021,3.77,14,4
Dry Cleaning,Tascam Tapes,16 November 2021,3.61,5,6
Oxxxymiron,miXXXtape III: Смутное Время,14 November 2021,2.24,112,3
Хаски [Haski],Русский альбом,2022,-,inf,8
Logic,College Park,2022,-,inf,8
nxac.cd,Yuuko in Hell,1 January 2022,4.00,1,8
Park Zero,Proxy,1 January 2022,4.50,1,8
ITZY,It'z ITZY,22 December 2021,3.70,14,6
Trippie Redd,Hate Is Dead,20 December 2021,3.00,47,7
Johnny Marr,Fever Dreams Pt. 2,17 December 2021,3.31,18,3
Klabautamann,Numbered,16 December 2021,3.79,6,6
Viagra Boys,Shrimp Sessions 2,16 December 2021,3.98,22,6
Mavorim,Non omnis moriar,12 December 2021,3.58,7,4
Caestus,The Undoer's Key,12 December 2021,3.21,13,1
Brighter Death Now,All Too Bad - Bad To All,12 December 2021,3.42,14,5
Chouchou & Orcaorca,最果のダリア (Saihate no Dahlia),11 December 2021,3.73,20,5
"Jan Bang, David Toop & Mark Wastell","Compound Full of Bones, Translucent Thousands",11 December 2021,3.00,4,8
Maladie,The Sick Is Dead - Long Live the Sick,10 December 2021,3.35,17,3
Noxis / Cavern Womb,Communion of Corrupted Minds,10 December 2021,3.70,15,6
GLARE,Heavenly,10 December 2021,3.71,29,7
Nate Wooley,stem-flower-root,10 December 2021,3.67,7,7
Nosdam + RayonOdd NosdamRayon,From Nowhere to North,Odd NosdamRayon,3.40,12,7
Hundredth,Welcome to Somewhere Nowhere,10 December 2021,1.83,4,6
Arv & Miljö,Ensam är nattens rymd över vita vägar,10 December 2021,3.21,9,6
Pink Floyd,"Amsterdamse Bos, Free Concert, Live, 26 June 1971",10 December 2021,2.95,11,4
Sharda,High Tide,8 December 2021,3.55,18,6
Nuit noire,Fäerie Über Alles,6 December 2021,3.01,4,7
EERA,Speak,3 December 2021,3.08,17,3
Matthew Halsall,Salute to the Sun - Live at Hallé St. Peter's,3 December 2021,3.69,11,6
The Browning,End of Existence,3 December 2021,3.17,43,3
Robertinho Silva & Alexandre Ito,Nascimento das canções,3 December 2021,3.50,1,8
Ian Wellman,"On the Darkest Day, You Took My Hand and Swore It Will Be Okay",3 December 2021,3.05,9,7
Abiotic,A Universal Plague: Mutation,3 December 2021,3.27,24,2
Roland Kayn,An Algorithm MA 71,3 December 2021,3.21,8,6
General Surgery,A Legendary Death,3 December 2021,2.99,9,6
Robin Guthrie,Riviera,3 December 2021,3.32,16,2
Ossuaire,Triumvirat,2 December 2021,3.59,14,4
Anima & Malibu,United in Flames 1st December 2021,2 December 2021,4.00,10,8
K$upreme & Shawny Binladen,Supreme Wick Sharks,2 December 2021,3.28,26,6
Mariusz Duda,Interior Drawings,December 2021,3.60,6,4
Mateus Aleluia,Afrocanto das nações,30 November 2021,3.65,24,7
Joshua Idehen & Daedelus,Holy Water Over Sons,26 November 2021,2.93,16,5
Crawlspacer,Crawlspacer,26 November 2021,3.50,8,7
Şam,P.İ.Ç,26 November 2021,3.59,140,6
Wide Eyes,Oneironaut,26 November 2021,3.61,14,1
ist ist,The Art of Lying,26 November 2021,3.09,12,2
Krvna,Sempinfernus,26 November 2021,3.28,15,5
Thyrathen,ThanatOpsis,26 November 2021,3.55,27,3
Cerebral Incubation,Fermented Cranial Inebriating Fluids,25 November 2021,3.45,25,3
Duki,Temporada de reggaetón,25 November 2021,2.77,45,6
Dave Bainbridge,To the Far Away,23 November 2021,3.24,8,3
Wilco,Live at Capitol Theater 2014,22 November 2021,-,inf,7
Martial Barrage,Agents of the Wolf Age,22 November 2021,3.25,13,4
Local Natives,Music From the Pen Gala 1983,20 November 2021,2.97,15,-
Theatres des Vampires,In Nomine Sanguinis,19 November 2021,2.67,17,4
W.E.B.,Colosseum,19 November 2021,3.07,10,2
Gonemage,Sudden Deluge,19 November 2021,3.14,33,4
BT,Metaversal,19 November 2021,3.02,35,4
Secret Webcam Girl,Digital Gaia,19 November 2021,3.69,13,7
Nolanberollin,ɴᴀᴘᴀʟᴍ_ᴠɪʀᴛᴜᴀʟɢᴏ!,19 November 2021,3.50,23,6
O.S.S. & The Orb,Enter the Kettle,19 November 2021,3.39,21,5
Pedro,後日改めて伺います,17 November 2021,3.62,16,6
Chip Tanaka,Domani,17 November 2021,3.34,7,7
Objekt,All Night @ Nowadays NYC,17 November 2021,3.50,2,7
Черноплодь [Chernoplod'],СУЕ,16 November 2021,3.19,15,3
Deaf Club,Productive Disruption,6 January 2022,3.50,1,6
Kep1er,First Impact,3 January 2022,-,inf,7
Grave Infestation,Persecution of the Living,2022,-,inf,7
Impending Doom,Hellbent,January 2022,3.24,38,3
Todd Rundgren,Space Force,2022,-,inf,7
Witchery,Twilight Supertzar,2022,-,inf,7
Neurotech,Symphonies II,2022,-,inf,7
Wombbath,Agma,31 December 2021,2.00,2,6
Mütterlein,Bring Down the Flags,30 December 2021,4.00,2,4
Deerhoof,Devil Kids,21 December 2021,4.00,7,5
Katie Eikam / Kevin Good,John Muir Trails,19 December 2021,-,inf,7
Iron Fate,Crimson Messiah,17 December 2021,3.00,5,2
Wicked Sensation,Outbreak,17 December 2021,3.00,4,2
Morbific,Promo '21,15 December 2021,3.27,15,6
Celer,Cascade; or a Mass of Severe Stages,12 December 2021,3.73,8,5
Siamese,Home,10 December 2021,3.24,19,3
Intricated,Apocalyptic Metamorphosis,10 December 2021,3.45,13,2
Saáadon,мреть (наутро ночь),10 December 2021,3.71,7,5
Rapoon,:Cinema telephonique:,10 December 2021,-,inf,7
Eminenz,Diabolical Warfare,10 December 2021,2.60,6,3
Manapool,ZODIAC CORE: OPTIMIZED EMOTIONAL STABILITY CONSTRUCT,10 December 2021,4.07,13,6
U2,I Belive in Father Christmas EP,10 December 2021,3.11,25,4
Little Boy Velvet,LBV25,9 December 2021,3.01,9,5
Rid of Me,Traveling,3 December 2021,3.28,27,4
Cepheide,Les échappées,3 December 2021,3.42,21,2
Hypno5e,A Distant Dark Source Experience,3 December 2021,3.00,4,5
Under the Church,Total Burial,3 December 2021,3.52,17,4
Coronatus,Atmosphere,3 December 2021,3.06,5,2
"Paul Weller, Jules Buckley & BBC Symphony Orchestra",An Orchestrated Songbook,3 December 2021,3.01,13,3
Sansibar,Sans musique,3 December 2021,3.25,14,5
Recovery Girl,Nausea Pop Vol 1,3 December 2021,3.36,40,6
Artykuły Rolne,Porno,3 December 2021,3.68,19,3
Custard,Imperium rapax,3 December 2021,3.12,8,2
Cleaners From Venus,Christabel's Party,3 December 2021,3.18,11,4
"Eva-Maria Houben, Ernesto Rodrigues, Guilherme Rodrigues & Carlos Santos",Falling Into Wide Spaces,3 December 2021,2.75,4,4
DJ Atari Jaguar,baker's dozen i /// fly low beats,3 December 2021,3.60,6,5
Skylar Spence,Alive 2021,3 December 2021,4.14,13,3
Wiener Philharmoniker / Christian Thielemann / Elīna Garanča,Live from Salzburg,3 December 2021,3.12,6,5
Andy Morin,NOF2 USB,3 December 2021,3.22,5,3
Segunda Mordida / Anthony1,Vespucci,3 December 2021,3.41,17,5
Rosegarden Funeral Party,In the Wake of Fire,3 December 2021,3.80,8,2
Phace,System Irrelevant,1 December 2021,3.24,13,4
Clean Slate,434C45414E,1 December 2021,3.54,10,7
Cadaveric Incubator / Undergang,Cadaveric Incubator / Undergang,1 December 2021,3.55,15,4
BK,Cidade do pecado,1 December 2021,3.24,43,3
Mass Hysteria,"Rock Hard DVD Collector Exclusif - Mass Hysteria, 10 ans de Furia",December 2021,-,inf,-
Sissy Spacek,Radio Format,1 December 2021,3.69,6,6
The Kings of Frog Island,VII,1 December 2021,3.43,7,4
Kenji,Edge of the City,30 November 2021,3.67,6,5
Klimperei,Handpicked,30 November 2021,3.39,10,4
Hen Ogledd,No Wood Accepted,29 November 2021,2.76,20,3
Gabi Losoncy,Self Pity and a Lack of Magnanimity,29 November 2021,3.10,10,3
Buckethead,Thought Pond,27 November 2021,3.24,8,5
William Doyle,Alternate Lands EP,26 November 2021,3.44,49,6
Zebrahead,III,26 November 2021,3.24,31,4
Rufus T. Firefly,El largo mañana,26 November 2021,3.57,27,2
Variété,Dziki książę,26 November 2021,2.58,12,5
Ava Mendoza,New Spells,26 November 2021,3.51,14,4
Anuel AA,Las leyendas nunca mueren,26 November 2021,2.75,65,7
Government Alpha,Human Error,26 November 2021,3.59,15,4
Midnight Danger,Nights at Lake Milsen,26 November 2021,3.38,10,4
Metafive,Metaatem,20 November 2021,-,inf,7
Riley the Musician,Montana,19 November 2021,3.65,26,4
Primal Scream,Live at Levitation,19 November 2021,3.71,17,5
Snake Mountain Revival,Everything in Sight,19 November 2021,3.41,12,1
Nightland,The Great Nothing,19 November 2021,3.49,9,1
John Barry,The Tamarind Seed,19 November 2021,3.33,6,3
Hasaan Ibn Ali,Retrospect in Retirement of Delay: The Solo Recordings,19 November 2021,3.83,7,5
Red Kite,Apophenian Bliss,19 November 2021,3.61,9,3
Oasis,Knebworth 1996,19 November 2021,4.50,4,3
Akiko Haruna,Be Little Me,19 November 2021,3.26,21,5
Napoleon da Legend & Amerigo Gazaway,The World Changed,19 November 2021,3.06,13,2
Léonie Pernet,Le cirque de consolation,19 November 2021,3.44,21,2
London Symphony Orchestra / Jaime Martín,Wind Concertos,19 November 2021,3.05,9,5
Anberlin,Heavy Lies the Crown,19 November 2021,3.75,5,5
Jimmy Eat World,Clarity: Phoenix Sessions,17 November 2021,3.77,29,4
Sharda,Low Tide (Sharda Dubs 2021),17 November 2021,3.95,7,7
Armywives / To Be Gentle / Alas / Mirin bide,4 Way Split,15 November 2021,3.66,10,4
Ashley Ninelives,Cheshire Days,January 2022,-,inf,6
City Light Mosaic,Film,2022,-,inf,6
Mirror,The Day Bastard Leaders Die,2022,-,inf,6
Church of Disgust,Weakest Is the Flesh,2022,-,inf,6
Triumvir Foul,Onslaught to Seraphim,2022,-,inf,6
Yung Aether,"Kuso AKA Kx $ 0 the Mixtape: ""God of Darkness, breathing clouds in the fantasy landscape, etc.""",22 December 2021,3.68,3,3
Gareth Davis,In Vivo,20 December 2021,3.50,5,5
Noisia,The Resonance I,17 December 2021,3.37,22,5
Pedro LaDroga & $kyhook,Skydrvg 3.0 (Casa de Brujas),15 December 2021,3.77,19,3
Nodo Gordiano,H.E.X.,15 December 2021,4.00,2,5
Pabllo Vittar,I AM PABLLO,14 December 2021,4.32,41,6
Tede,Espeoerte 0121,13 December 2021,2.96,23,2
Arnaud Rebotini,New Territory,11 December 2021,3.58,8,3
Cap Outrun,High on Deception,10 December 2021,3.13,8,-
Monty,Hit The Lights,10 December 2021,3.60,20,4
Anatomy of Habit,Even If It Takes a Lifetime,10 December 2021,2.51,4,3
Ace of Hearts,Frozen in Time,10 December 2021,2.74,32,6
Vahrzaw,The Trembling Voices of Conquered Men,10 December 2021,3.28,17,2
Gong,Live at Longlaville 27/10/1974,10 December 2021,-,inf,5
4s4ki,Here or Heaven,10 December 2021,3.50,37,5
Sorcerer,Reverence,10 December 2021,3.32,12,5
[ B O L T ] + Aidan Baker[ B O L T ]Aidan Baker,[ B O L T ] + Aidan Baker,[ B O L T ]Aidan Baker,3.51,7,5
David Watson & Matthew Welch,Woven,10 December 2021,2.65,5,6
ehiorobo,Joltjacket,10 December 2021,4.03,14,2
Lilac,Back and Forth,9 December 2021,3.16,8,4
Phew,In The Waiting Room,8 December 2021,2.77,8,4
Heiress,Distant Fires,3 December 2021,3.43,16,3
Lahti Symphony Orchestra / Dima SlobodenioukSinfonia LahtiDima Slobodeniouk,Scenes From the Kalevala,Sinfonia LahtiDima Slobodeniouk,2.87,4,3
Like Pacific,Control My Sanity,3 December 2021,2.81,25,2
DJ Harrison,Tales From the Old Dominion,3 December 2021,3.19,15,3
Eyes Set to Kill,Damna,3 December 2021,3.30,18,2
波多野敦子 [Atsuko Hatano] & Midori Hirano,Water Ladder,3 December 2021,3.15,8,5
Berner,Gotti,3 December 2021,2.60,17,3
Ekin Fil,Feelings,3 December 2021,3.24,18,2
Mom\$,RAVE SHIT V- THE FINAL OPERATION,3 December 2021,3.13,12,5
nthng,Earthseed,3 December 2021,3.21,22,4
Leonard Bernstein & Stephen Sondheim,West Side Story,3 December 2021,3.87,11,3
Robin Fox,Threnody to Now,3 December 2021,2.63,6,5
Dream Theater,Lost Not Forgotten Archives: When Dream and Day Reunite,3 December 2021,2.67,7,3
The Spacelords,Unknown Species,3 December 2021,3.92,8,3
Emily Robb,How to Moonwalk,3 December 2021,3.31,4,-
"The Choir of the Carmelite Priory, London / Simon Lloyd","Complete Masses, Volume One",3 December 2021,-,inf,5
Dani Kiyoko,#GSTARSOULJA*,2 December 2021,3.84,10,5
いろのみ [Ironomi],4つの夜想曲 (4 Nocturnes),1 December 2021,3.28,2,6
Princess Diana of Wales,Princess Diana of Wales,29 November 2021,2.88,20,1
DIM,The Holy Crag,29 November 2021,3.80,19,3
Melaina Kol,AMOSAT,27 November 2021,3.72,37,5
El Michels Affair,The Abominable EP,26 November 2021,3.33,17,2
Waltari,3rd Decade: Anniversary Edition,26 November 2021,2.90,4,2
Servant,Blessed by the Light of a Thousand Stars,26 November 2021,3.50,10,1
Kacperczyk,Kryzys wieku wczesnego,26 November 2021,3.30,44,1
Kaśka Sochacka,Ministory,26 November 2021,3.24,12,1
L'Homme Statue,Ser,26 November 2021,3.64,10,5
Orchestre national de France / Cristian Măcelaru / Olivier Latry,Complete Symphonies,26 November 2021,2.75,2,6
James,The Campfire EP,26 November 2021,2.54,7,2
Zomby,Chaos Reigns II,26 November 2021,3.13,6,3
Oscar Peterson,"A Time for Love: The Oscar Peterson Quartet - Live in Helsinki, 1987",26 November 2021,3.86,7,2
Coro e Orchestra del Teatro La Fenice / Andrea Molino / Carmela Remigio / Veronica Simeoni / Mario Zeffiri / Simone AlberghiniOrchestra del Teatro La FeniceCoro del Teatro La FeniceAndrea MolinoCarmela RemigioVeronica SimeoniMario ZeffiriSimone Alberghini,Requiem,Orchestra del Teatro La FeniceCoro del Teatro La FeniceAndrea MolinoCarmela RemigioVeronica SimeoniMario ZeffiriSimone Alberghini,-,inf,6
Hayley Mary,Fall in Love,25 November 2021,3.27,14,3
The Bobfather,Hazard!,24 November 2021,3.98,10,4
Calibre,Shelflife 7,24 November 2021,3.26,12,5
Radwimps,Forever Daze,23 November 2021,2.80,21,3
Krzysztof Zalewski,MTV Unplugged,23 November 2021,3.29,13,2
Andreas Staier,Das wohltemperierte Klavier: Zweiter Teil,19 November 2021,3.00,3,4
Quartetto Lyskamm / Trio Debussy / Michele Marelli / Ghenadie Rotari / Simone Beneventi / Emanuele Torquati / Michele Lomuto / Gianluca Cascioli / Bálint Karosi,Musica ritrovata,19 November 2021,-,inf,6
Ploy,Rayhana,19 November 2021,3.31,25,4
Bryson Tiller,A Different Christmas,19 November 2021,2.29,88,3
Nick Frater,Earworms,19 November 2021,3.04,3,-
Bruce Liu,Winner of the 18th International Fryderyk Chopin Piano Competition Warsaw 2021,19 November 2021,3.97,3,3
BBY KODIE,Emotions Running High,19 November 2021,3.52,50,5
Árstíðir,Pendúll,19 November 2021,3.38,11,6
Chong Wizard,Blessing Season,19 November 2021,2.99,8,1
Houeida Hedfi,Fleuves de l’âme,19 November 2021,3.27,18,3
Rowjay,Carnaval de finesse 2: Les chroniques d'un jeune entrepreneur,19 November 2021,3.41,14,4
Hipgnosis,Valley of the Kings,17 November 2021,3.50,6,1
Alessandra Leão,Acesa,17 November 2021,3.33,14,4
D.K.,Gate of Enlightenment,17 November 2021,3.30,7,2
Máquina Magnética,Máquina Magnética,16 November 2021,3.45,5,4
Kinoteki,Human Noise,4 January 2022,-,inf,5
The 1975 & BBC Philharmonic,Live with the BBC Philharmonic Orchestra,2022,-,inf,5
Czarface,Good Guys Bad Guys EP,January 2022,4.00,1,5
Vale-Smith,Coruscate,January 2022,-,inf,5
Young Guv,Guv IV,2022,-,inf,5
BOKKA,Blood Moon,2022,-,inf,5
Che Noir,Food for Thought,2022,-,inf,5
The Bread Scientists,Synestia,1 January 2022,-,inf,5
Efek Walpurgis,Now Press Elite,1 January 2022,-,inf,5
Evadne,The Pale Light of Fireflies,24 December 2021,-,1,3
Elisione,02 PIPEDREAMS,24 December 2021,-,inf,5
Apollo Bitrate,'s Space Hut,24 December 2021,4.33,4,4
Shawny Binladen,Merry Wickmas 2,24 December 2021,3.49,8,5
Hollow Woods,Cold Winds Cleave the Earth,21 December 2021,3.34,7,-
Hail Conjurer,Sinister,21 December 2021,3.00,7,2
2003 Toyota Corolla,2013 Toyota Corolla,20 December 2021,3.47,11,5
Posture & The Grizzly,Posture & The Grizzly,20 December 2021,3.40,11,3
Franck Vigroux,Atotal,18 December 2021,3.25,3,3
Chuck Berry,Live From Blueberry Hill,17 December 2021,3.36,7,2
Consider the Source,Hybrid Vol. 1: Such as a Mule,17 December 2021,3.62,9,4
XoBrooklynne,My Crown: The Album,17 December 2021,2.09,20,3
Michael Giacchino,Spider-Man: No Way Home,17 December 2021,3.51,14,2
Raz Fresco & Dibia$e,Secret Wars,17 December 2021,3.81,7,2
Jyrki 69,American Vampire,16 December 2021,3.00,4,1
Ensemble Court-Circuit,Pegah,15 December 2021,-,inf,5
Wounds of Recollection,Deathbed,15 December 2021,3.40,6,2
Sound Food Gang,"Foodstation, Vol. 2",15 December 2021,2.52,6,3
Brogan Johnson,Brogan Johnson vs. The World,12 December 2021,2.67,4,4
Catacomb,Back to Unknown Kadath,10 December 2021,2.50,2,5
Monsta X,The Dreaming,10 December 2021,2.90,29,2
Mcfly & Carlito,Notre Meilleur Album,10 December 2021,0.58,41,5
Benny Sings,Beat Tape II,10 December 2021,2.93,21,1
Jeroen van Veen / Sandra van Veen,Canto Ostinato (2 Piano Version),10 December 2021,4.50,1,4
Those Poor Bastards,Old Time Suffering,10 December 2021,2.91,17,4
Corey Feldman,Love Left 2.1,10 December 2021,-,inf,5
Mike Majkowski,Four Pieces,10 December 2021,3.50,3,4
Noekk,The White Lady,10 December 2021,3.21,8,3
"Lucie,Too",Fool,8 December 2021,3.30,16,5
Haircuts for Men,A Path,8 December 2021,2.98,6,4
Tetsuya Nakayama,Ruins,8 December 2021,3.50,2,4
AngelMaker,Eclipse,8 December 2021,3.64,12,4
Ratkiller,A Curious Lack of Limbs,7 December 2021,-,inf,5
